hypothesis,evidences,label
NCT00365365 and NCT00005908 only recorded one type of acute adverse event.,"[""Adverse Events 1:"", ""  Total: 23/78 (29.49%)"", ""  Febrile neutropenia * 4/78 (5.13%)"", ""  Neutropenia * 1/78 (1.28%)"", ""  Thrombocytopenia * 0/78 (0.00%)"", ""  Acute coronary syndrome * 1/78 (1.28%)"", ""  Cardiac failure congestive * 1/78 (1.28%)"", ""  Myocardial infarction * 1/78 (1.28%)"", ""  Cardiomyopathy * 0/78 (0.00%)"", ""  Abdominal pain * 1/78 (1.28%)"", ""  Diarrhoea * 1/78 (1.28%)"", ""  Upper gastrointestinal haemorrhage * 1/78 (1.28%)""]",Contradiction
"Less than 5% of cohort 1 of NCT01931163 had LACRIMAL DISORDER, 0% of NCT00274469 patients were recorded as having LACRIMAL DISORDER.","[""Adverse Events 1:"", ""  Total: 6/22 (27.27%)"", ""  Thrombocytopenia  1/22 (4.55%)"", ""  leucocytopenia  1/22 (4.55%)"", ""  neutropenia  1/22 (4.55%)"", ""  papilledema  1/22 (4.55%)"", ""  Nausea  1/22 (4.55%)"", ""  hyperglycemia  1/22 (4.55%)""]",Contradiction
Patients must be over the age of 18 and have a life expectancy over 6 months to participate in NCT00193050.,"[""Inclusion Criteria:"", ""  Female Patients >18 years of age"", ""Exclusion Criteria:"", ""  Life expectancy of < than 6 months""]",Entailment
NCT00618826 and NCT02040857 only record 4 of the same adverse events.,"[""Adverse Events 1:"", ""  Lymphopenia 1/14 (7.14%)"", ""  Diarrhea 1/14 (7.14%)"", ""  Fatigue (asthenia, lethargy, malaise) 2/14 (14.29%)"", ""  Hypertension 2/14 (14.29%)""]",Entailment
Cohort 1 of NCT01416389 had more cases of urinary infections and lumbar fractures than cohort 2.,"[""Adverse Events 1:"", ""  Urinary tract infection 1/26 (3.85%)"", ""  Lumbar vertebral fracture 1/26 (3.85%)"", ""Adverse Events 2:"", ""  Urinary tract infection 0/13 (0.00%)"", ""  Lumbar vertebral fracture 0/13 (0.00%)""]",Entailment
More patients in cohort 1 of NCT00068341 experienced death progressive disease  than in cohort 2.,"[""Adverse Events 1:"", ""  Total: 6/15 (40.00%)"", ""  diarrhea and dehydration * 0/15 (0.00%)"", ""  Severe Dehydration * 1/15 (6.67%)"", ""  hypokalemia * 1/15 (6.67%)"", ""  pain, swelling, mastectomy site cellulitis * 0/15 (0.00%)"", ""  death progressive disease * 0/15 (0.00%)"", ""  divetricular abscess * 0/15 (0.00%)"", ""  fever * 1/15 (6.67%)"", ""  febrile neutropenia * 3/15 (20.00%)"", ""  Neutropenia * 0/15 (0.00%)"", ""Adverse Events 2:"", ""  Total: 4/14 (28.57%)"", ""  diarrhea and dehydration * 0/14 (0.00%)"", ""  Severe Dehydration * 0/14 (0.00%)"", ""  hypokalemia * 0/14 (0.00%)"", ""  pain, swelling, mastectomy site cellulitis * 0/14 (0.00%)"", ""  death progressive disease * 1/14 (7.14%)"", ""  divetricular abscess * 0/14 (0.00%)"", ""  fever * 0/14 (0.00%)"", ""  febrile neutropenia * 2/14 (14.29%)"", ""  Neutropenia * 0/14 (0.00%)""]",Contradiction
"NCT01743560 and NCT02435680 use best Overall Response (OR) as their evaluation metrics, however they use significantly different time frames.","[""Outcome Measurement: "", ""  Progression Free Survival (PFS) as Per RECIST v1.1 (by Local Investigator Assessment)"", ""  PFS Results presented for all MCS110 treated patients (with and without day 8 dose), in line with phase 2 study design."", ""  Time frame: 4 years""]",Contradiction
A total of 3 patients in cohort 1 of NCT02115984 experience a Herpes related adverse event.,"[""Adverse Events 1:"", ""  Total: 57/57 (100.00%)"", ""  Dry eyes  13/33 (39.39%)"", ""  Heartburn  9/33 (27.27%)"", ""  Nausea after the CT (before day 7)  57/57 (100.00%)"", ""  Herpetic eruption  0/33 (0.00%)"", ""  Dry skin  15/33 (45.45%)"", ""  Alopecia  57/57 (100.00%)"", ""Adverse Events 2:"", ""  Total: 23/23 (100.00%)"", ""  Dry eyes  2/11 (18.18%)"", ""  Heartburn  2/11 (18.18%)"", ""  Nausea after the CT (before day 7)  23/23 (100.00%)"", ""  Herpetic eruption  3/11 (27.27%)"", ""  Dry skin  9/11 (81.82%)"", ""  Alopecia  23/23 (100.00%)""]",Contradiction
Across both cohorts of NCT00284180 a total of two patients had low levels of oxygen in their body tissues.,"[""Adverse Events 1:"", ""  Total: 5/11 (45.45%)"", ""  Diabetes insipidus  [1]1/11 (9.09%)"", ""  Nausea 0/11 (0.00%)"", ""  Ileus 1/11 (9.09%)"", ""  Dehydration 1/11 (9.09%)"", ""  Vomiting 0/11 (0.00%)"", ""  Pain NOS  [2]2/11 (18.18%)"", ""  Pain - abdomen 0/11 (0.00%)"", ""  Fracture  [3]0/11 (0.00%)"", ""  Progressive Disease 1/11 (9.09%)"", ""  CNS Ischemia 1/11 (9.09%)"", ""  Respiratory Failure 0/11 (0.00%)"", ""  Hypoxia 1/11 (9.09%)"", ""Adverse Events 2:"", ""  Total: 8/21 (38.10%)"", ""  Diabetes insipidus  [1]0/21 (0.00%)"", ""  Nausea 1/21 (4.76%)"", ""  Ileus 0/21 (0.00%)"", ""  Dehydration 1/21 (4.76%)"", ""  Vomiting 1/21 (4.76%)"", ""  Pain NOS  [2]0/21 (0.00%)"", ""  Pain - abdomen 1/21 (4.76%)"", ""  Fracture  [3]1/21 (4.76%)"", ""  Progressive Disease 1/21 (4.76%)"", ""  CNS Ischemia 1/21 (4.76%)"", ""  Respiratory Failure 1/21 (4.76%)"", ""  Hypoxia 1/21 (4.76%)""]",Entailment
"Any women with stage 4 or Unresectable, locally recurrent cancer breast cancer are eligible for NCT00316199.","[""Inclusion Criteria:"", ""  Female patients of Chinese origin with histologically or cytologically proven diagnosis of breast cancer."", ""  Unresectable, locally recurrent breast cancer or stage IV disease.""]",Contradiction
NCT01808573 Patients receiving Neratinib Plus Capecitabine had a PFS  much longer than the study time frame of 38 months.,"[""Outcome Measurement: "", ""  Centrally Assessed Progression Free Survival"", ""  Progression Free Survival (PFS), Measured in Months, for Randomized Subjects of the Central Assessment. The time interval from the date of randomization until the first date on which recurrence, progression (per Response Evaluation Criteria in Solid Tumors Criteria (RECIST) v1.1), or death due to any cause, is documented. For subjects without recurrence, progression or death, it is censored at the last valid tumor assessment. Progression is defined using Response Evaluation Criteria in Solid Tumors Criteria (RECIST v1.1), as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions. Here, the time to event was reported as the restricted mean survival time. The restricted mean survival time was defined as the area under the curve of the survival function up to 24 months."", ""  Time frame: From randomization date to recurrence, progression or death, assessed up to 38 months. The result is based on primary analysis data cut."", ""Results 1: "", ""  Arm/Group Title: Neratinib Plus Capecitabine"", ""  Arm/Group Description: neratinib 240 mg orally, once daily with food, continuously in 21 day cycles, and capecitabine 1500 mg/m^2 daily in 2 evenly divided doses, orally with water within 30 minutes after a meal, taken on days 1 to 14 of each 21 day cycle."", ""  Overall Number of Participants Analyzed: 307"", ""  Mean (95% Confidence Interval)"", ""  Unit of Measure: months  8.8        (7.8 to 9.8)"", ""Results 2: "", ""  Arm/Group Title: Lapatinib Plus Capecitabine"", ""  Arm/Group Description: lapatinib 1250 mg orally, once daily, continuously in 21 day cycles, and capecitabine 2000 mg/m^2 daily in 2 evenly divided doses, orally with water within 30 minutes after a meal, taken on days 1 to 14 of each 21 day cycle."", ""  Overall Number of Participants Analyzed: 314"", ""  Mean (95% Confidence Interval)"", ""  Unit of Measure: months  6.6        (5.9 to 7.4)""]",Contradiction
Neutropenia was the most common adverse event for patients in cohort 1 of NCT01427933.,"[""Adverse Events 1:"", ""  Total: 26/69 (37.68%)"", ""  Anaemia 2/69 (2.90%)"", ""  Febrile neutropenia 3/69 (4.35%)"", ""  Neutropenia 4/69 (5.80%)"", ""  Cardiac arrest 1/69 (1.45%)"", ""  Cardiac failure congestive 1/69 (1.45%)"", ""  Cardiac tamponade 1/69 (1.45%)"", ""  Pericardial effusion 1/69 (1.45%)"", ""  Abdominal pain 1/69 (1.45%)"", ""  Ascites 2/69 (2.90%)"", ""  Colitis 1/69 (1.45%)"", ""  Gastritis 1/69 (1.45%)"", ""  Gastritis erosive 1/69 (1.45%)""]",Entailment
Nausea and Death are two of the most common adverse events for patients in cohort 1 of NCT00951665,"[""Adverse Events 1:"", ""  Total: 7/26 (26.92%)"", ""  Febrile neutropenia 1/26 (3.85%)"", ""  Neutropenia 0/26 (0.00%)"", ""  Thrombocytopenia 0/26 (0.00%)"", ""  Cardiac failure congestive 0/26 (0.00%)"", ""  Extrasystoles 0/26 (0.00%)"", ""  Nausea 1/26 (3.85%)"", ""  Abdominal pain 0/26 (0.00%)"", ""  Constipation 0/26 (0.00%)"", ""  Gastrointestinal haemorrhage 0/26 (0.00%)"", ""  Death - unknown cause 1/26 (3.85%)"", ""  Thrombosis in device 0/26 (0.00%)""]",Entailment
NCT00110084 and NCT01961544 both reported cases of sepsis in their patients.,"[""Adverse Events 1:"", ""  Sepsis 1/50 (2.00%)""]",Entailment
"Patients must have AST, ALP and ALT < 1.5 ULN to participate in NCT02988986.","[""Inclusion Criteria:"", ""  Hepatic status: Serum total bilirubin  1 x upper limit of normal (ULN; in the case of known Gilbert's syndrome, a higher serum total bilirubin [< 1.5 x ULN] is allowed), aspartate aminotransferase and alanine aminotransferase  1.5 x ULN, and alkaline phosphatase  1.5 x ULN;""]",Entailment
"In the NCT00193063 patient cohort, 3 different types of infections are observed. ","[""Adverse Events 1:"", ""  Total: 14/41 (34.15%)"", ""  Cardiac ischemia/infarction 2/41 (4.88%)"", ""  Duodenal ulcer 1/41 (2.44%)"", ""  Vomiting 2/41 (4.88%)"", ""  Fever 2/41 (4.88%)"", ""  Death NOS 1/41 (2.44%)"", ""  Liver failure 1/41 (2.44%)"", ""  Infection - pneumonia 2/41 (4.88%)"", ""  Infection - port site 2/41 (4.88%)"", ""  Infection - urinary tract 1/41 (2.44%)"", ""  Disease progression 3/41 (7.32%)"", ""  Confusion 1/41 (2.44%)""]",Entailment
A 30% of patients in NCT02630693 suffered a life-threatening reaction to an infection.,"[""Adverse Events 1:"", ""  Total: 9/90 (10.00%)"", ""  Febrile neutropenia 2/90 (2.22%)"", ""  Ascites 0/90 (0.00%)"", ""  Nausea 0/90 (0.00%)"", ""  Vomiting 0/90 (0.00%)"", ""  Death NOS 1/90 (1.11%)"", ""  Fever 0/90 (0.00%)"", ""  Other general disorders, administration site conditions 0/90 (0.00%)"", ""  Other hepatobiliary disorders 1/90 (1.11%)"", ""  Lung infection 2/90 (2.22%)"", ""  Sepsis 2/90 (2.22%)"", ""  Spinal fracture 0/90 (0.00%)"", ""Adverse Events 2:"", ""  Total: 12/89 (13.48%)"", ""  Febrile neutropenia 0/89 (0.00%)"", ""  Ascites 1/89 (1.12%)"", ""  Nausea 1/89 (1.12%)"", ""  Vomiting 1/89 (1.12%)"", ""  Death NOS 2/89 (2.25%)"", ""  Fever 1/89 (1.12%)"", ""  Other general disorders, administration site conditions 1/89 (1.12%)"", ""  Other hepatobiliary disorders 0/89 (0.00%)"", ""  Lung infection 0/89 (0.00%)"", ""  Sepsis 1/89 (1.12%)"", ""  Spinal fracture 1/89 (1.12%)""]",Contradiction
"NCT00615901 recorded many more seizures than NCT00829166, despite having less than one tenth the number of patients in its total cohort.","[""Adverse Events 1:"", ""  Seizure 1/38 (2.63%)""]",Contradiction
"For all adverse event types in NCT01498458, at least one case was recorded.","[""Adverse Events 1:"", ""  Total: 6/8 (75.00%)"", ""  Thrombocytopenia 1/8 (12.50%)"", ""  Hypertension 1/8 (12.50%)"", ""  Hepatotoxicity 3/8 (37.50%)"", ""  Pancreatectomy * 1/8 (12.50%)""]",Entailment
Cohort 1 of NCT01269346 and Cohort 1 of NCT01597193  have the same total number of adverse events.,"[""Adverse Events 1:"", ""  Total: 15/52 (28.85%)""]",Contradiction
NCT03283553 and NCT01646346 do not use topical medications in their studies.,"[""INTERVENTION 1: "", ""  4D Conformal Image-Guided Partial Breast RT"", ""  This is a single arm trial designed to look at the results in women treated with partial breast irradiation twice daily for 5 days."", ""  4D Conformal Image-Guided Partial Breast RT: External beam partial breast radiation to target a portion of the breast twice a day for 5 days.""]",Entailment
Patients with prior chemotherapy for the treatment of stage 4 cancer are not eligible for either NCT00428922 or NCT00499083.,"[""Inclusion Criteria:"", ""  No prior chemotherapy in the metastatic setting.""]",Entailment
Female patients with Peripheral neuropathy >0 are excluded from NCT00829166.,"[""Exclusion Criteria:"", ""  Peripheral neuropathy of Grade >/= 3 per National Cancer Institute Common Terminology Criteria for Adverse Events (NCI-CTCAE), Version 3.0""]",Contradiction
"pre-menopausal patients are excluded from NCT02455453, but eligible for NCT00429572.","[""Inclusion Criteria:"", ""  Recurrent or residual metastatic breast carcinoma"", ""  Zubrod performance status less than 2"", ""  18-60 years old"", ""  Related donor human leukocyte antigen (HLA)-compatible for allogeneic transplantation or unrelated HLA-compatible donor."", ""  No major organ dysfunction or active infection"", ""Exclusion Criteria: None""]",Entailment
Candidates for NCT00058058 must have a life expectancy over 6 months.,"[""  Life expectancy"", ""  Not specified""]",Contradiction
"There less than 1% of either cohort of NCT01492101 was effect by Pancytopenia, but just over 5% of cohort 1 patients suffered from Coagulopathy.","[""Adverse Events 1:"", ""  Pancytopenia *2/425 (0.47%)"", ""  Coagulopathy *1/425 (0.24%)"", ""Adverse Events 2:"", ""  Pancytopenia *0/406 (0.00%)""]",Contradiction
NCT02502864 recorded the same number of occurences for every type of adverse event.,"[""Adverse Events 1:"", ""  Total: 3/9 (33.33%)"", ""  Fatigue * 1/9 (11.11%)"", ""  Non-cardiac chest pain * 1/9 (11.11%)"", ""  Sepsis * 1/9 (11.11%)"", ""  Urinary tract infection * 1/9 (11.11%)"", ""  Syncope * 1/9 (11.11%)"", ""  Anxiety * 1/9 (11.11%)"", ""  Thromboembolic event * 1/9 (11.11%)""]",Entailment
Patients must have an ECOG score below 3 to participate in NCT00254592.,"[""Inclusion Criteria:"", ""  Patients must have a performance status of 0-2 by Zubrod criteria""]",Entailment
Patients intracranial metastasis may be eligible for NCT00405938.,"[""Exclusion Criteria:"", ""  No metastatic disease to the Central Nervous System""]",Contradiction
"Females over the age of 18, whose last period was 2 years prior to randomisation are eligible for NCT01073865.","[""Inclusion Criteria:"", ""  Female 20 years and pre-menopausal.Pre-menopausal defined as 1) last menses within 1 year of randomisation, and 2) E2 10 pg/mL and FSH  30 mIU/mL within 4 weeks of randomisation.""]",Contradiction
"Candidates for NCT00952692 must have adequate colon and liver function, and must not be currently receiving amiodarone or have received amiodarone in the last 28 day. Renal function is not relevant for inclusion.","[""Inclusion Criteria:"", ""  The following criteria are to be checked at the time of study entry. The patients may only be included in the study if ALL of the following statements are FULLFILLED:"", ""  The patient (male or female) is at least 18 years old at the time of signature of the informed consent form."", ""  Written informed consent has been obtained from the patient prior to the performance of any protocol-specific procedure."", ""  The patient is diagnosed with confirmed invasive breast cancer with stage IV disease."", ""  Note: If the metastatic disease is restricted to a solitary lesion, its neoplastic nature should be confirmed by cytology or histology."", ""  The patient has documented disease progression or relapse following at least one prior standard therapy with trastuzumab (alone or in combination with chemotherapy)."", ""  Patients with prior lapatinib use are eligible. Furthermore,"", ""  The administration of the chemotherapeutic agent(s) should have been stopped for at least 28 days by the time of the first ASCI administration."", ""  The administration of trastuzumab alone could be maintained after chemotherapy, but the last dose of trastuzumab should not have been given less than three weeks before the first ASCI administration."", ""  The patient will not be given trastuzumab during the trial."", ""  For metastatic patients whose disease is ER+ and/or PR+ the following criteria should be met:"", ""  Patients with visceral disease that requires chemotherapy (eg., patients with liver or lung metastases)."", ""  Rapidly progressing or life threatening disease, as determined by the investigator."", ""  Patients who received hormonal therapy and are no longer benefiting from this therapy."", ""  A tumor lesion from the patient biopsied before or during screening shows either:"", ""  Overexpression of the HER2 protein, as determined by immunohistochemistry (IHC, with result IHC 3+) or"", ""  Amplification of the HER2 gene as determined by FISH (at least 4 fold i.e. at least 8 copies)."", ""  Note: Overexpression/amplification measurements must be performed on a metastatic lesion in all cases where such a lesion is sufficiently easily accessible. If however such a biopsy is not possible, then these measurements can be performed on the primary tumor. Use of the primary tumor is to be documented and justified."", ""  Ten FFPE tissue sections of the tumor on which the HER2 overexpression/amplification has been done -if available-may be requested. These may be used to retrospectively carry out part of the translational research (i.e. analysis of EGF receptor activity and of the presence of immune effector cells, refer to Section 7)."", ""  The patient has at least one measurable lesion according to RECIST criteria."", ""  The patient has ECOG status of 0 or 1."", ""  The patient has adequate bone marrow reserve as indicated by:"", ""  White blood cell count >/= 3,000/mm3."", ""  Neutrophil count >/= 1,500/mm3."", ""  Platelet count >/= 100,000/mm3."", ""  Hemoglobin levels >/= 10.0 g/dl."", ""  The patient has adequate renal function as shown by the creatinine levels (i.e. within the normal range)."", ""  The patient has adequate hepatic function as shown by serum bilirubin levels i.e:"", ""  Serum bilirubin levels within the normal limits."", ""  Both AST and ALT levels <1.5 times the ULN. Note: However, for patients with liver metastasis, a serum bilirubin level <1.5 times the ULN and both AST and ALT levels <3 times the ULN will be accepted."", ""  The patient has a baseline Left Ventricular Ejection Fraction (LVEF) measured by MUGA scan equal to or greater than the LLN for the radiology facility."", ""  If the patient is female, she must be of non-childbearing potential, i.e. have a current tubal ligation, hysterectomy, ovariectomy or be post-menopausal, or if she is of childbearing potential, she must practice adequate contraception for 30 days prior to treatment, have a negative pregnancy test and continue such precautions for two months after completion of the study treatment."", ""  Adequate contraception is defined as a contraceptive method with failure rate of less than 1% per year when used consistently and correctly (when applicable, as mentioned in the product label) for example abstinence, combined or progestogen oral contraceptives, injectable progestogen, implants of levonorgestrel, oestrogenic vaginal ring, percutaneous contraceptive patches or intrauterine device (IUD) or intrauterine system (IUS), vasectomy with documented azoospermia of the sole male partner or double barrier method (condom or occlusive cap plus spermicidal agent)."", ""  For azoospermia, \""documented\"" refers to the outcome of the investigator's/ designee's medical examination of the subject or review of the subject's medical history for study eligibility, as obtained via a verbal interview with the subject or from the subject's medical records."", ""  Post-menopause: Menopause is the age associated with complete cessation of menstrual cycles, menses, and implies the loss of reproductive potential by ovarian failure. A practical definition accepts menopause after 1 year without menses with an appropriate clinical profile at the appropriate age e.g. > 45 years."", ""  Able to swallow and retain oral medication."", ""  In the view of the investigator, the patient can and will comply with the requirements of the protocol."", ""Exclusion Criteria:"", ""  The following criteria should be checked at the time of study entry. If any apply, the patient must not be included in the study:"", ""  The patient has received > 300 mg/m2 doxorubicin (cumulative dose) or > 600 mg/m2 epirubicin (cumulative dose)."", ""  The patient is receiving treatment with bisphosphonate UNLESS the biphosphonate treatment was initiated more than three weeks before the first ASCI administration. (See also section 5.3.2.)."", ""  The patient has received any investigational or non-registered product (drug or vaccine) other than the study treatment(s) within 30 days preceding the first dose of study treatment, or planned use during the study period."", ""  The patient is currently receiving amiodarone or has received amiodarone in the 6 months prior to screening."", ""  The patient requires concomitant treatment with systemic corticosteroids or any immunosuppressive agents. The use of prednisone, or equivalent, <0.5 mg/kg/day (absolute maximum 40 mg/day), or inhaled corticosteroids or topical steroids is permitted."", ""  The patient has a malabsorption syndrome, disease significantly affecting gastrointestinal function, or resection of the stomach or small bowel."", ""  Patients with ulcerative colitis."", ""  The patient has known coronary artery disease, arrhythmia requiring treatment, clinically significant valvular disease, cardiomegaly on chest X-ray, ventricular hypertrophy (found by ECG) or previous myocardial infarction."", ""  The patient has any acute or chronic, clinically significant pulmonary, cardiovascular, hepatic or renal functional abnormality, as determined by physical examination or laboratory screening tests."", ""  The patient has current active hepatic or biliary's disease (with exception of patients with Gilbert's syndrome, asymptomatic gallstones, liver metastases or stable chronic liver disease per investigator assessment)."", ""  The patient presents with autoimmune disease (vitiligo and autoimmune thyroid disease is not an exclusion criterion)."", ""  The patient has a known family history of congenital or hereditary immunodeficiency."", ""  The patient has any uncontrolled bleeding disorder or coagulation disorder or thrombocytopenia or pro-thrombotic disorder."", ""  The patient has a history of anaphylaxis or severe allergic reaction to vaccines or unknown allergens."", ""  The patient has a known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to Lapatinib. These include other anilinoquinazolines, such as gefitinib (Iressa), erlotinib (Tarceva), or other chemically related compounds or excipients."", ""  The patient is known to be positive for the Human Immunodeficiency Virus (HIV)."", ""  The patient has (or has had) previous or concomitant malignancies at other sites except effectively treated:"", ""  Non-melanoma skin cancers or carcinoma in situ of the cervix"", ""  Malignancy that has been in remission for > 2 years and is considered highly likely to have been cured."", ""  The patient has any psychiatric or addictive disorder that may compromise her ability to give informed consent, or to comply with the trial procedures."", ""  The patient has any other condition that in the opinion of the investigator might jeopardize the patient's safety or ability to comply with the requirements of the study."", ""  The patient is pregnant or lactating.""]",Contradiction
Patients with left-sided breast cancer and an ECOG of 3 are excluded from NCT00581256.,"[""Inclusion Criteria:"", ""  All patients must have left-sided breast cancer."", ""  Performance status should be 0-2 by ECOG criteria."", ""Exclusion Criteria:"", ""  Performance status > 2 by ECOG criteria""]",Entailment
